adorer;to adore;verb;;;
aimer;to like, love;verb;;;
aimermieux;to prefer;verb;;;
allumer;to turn on;verb;;;
apporter;to bring;verb;;;
arriver;to arrive;verb;;;
bavarder;to chat;verb;;;
casser;to break;verb;;;
cesser;to cease;verb;;;
chanter;to sing;verb;;;
chercher;to look for;verb;;;
créer;to create;verb;;;
danser;to dance;verb;;;
déjeuner;to have lunch;verb;;;
demander;to ask;verb;;;
dépenser;to spend;verb;;;
dessiner;to draw;verb;;;
détester;to hate, detest;verb;;;
donner;to give;verb;;;
écouter;to listen to;verb;;;
emporter;to take with;verb;;;
emprunter;to borrow;verb;;;
étudier;to study;verb;;;
fonder;to found;verb;;;
frapper;to hit, knock;verb;;;
gagner;to win, earn;verb;;;
garder;to save, keep, guard;verb;;;
habiter;to live;verb;;;
jouver;to play;verb;;;
laisser;to leave, let;verb;;;
montrer;to show;verb;;;
oublier;to forget;verb;;;
parler;to speak;verb;;;
pousser;to push;verb;;;
présenter;to introduce;verb;;;
prêter;to lend;verb;;;
raconter;to tell;verb;;;
recontrer;to go back home;verb;;;
regarder;to watch, look at;verb;;;
retrouver;to find again;verb;;;
rester;to stay, remain;verb;;;
rouler;to roll, ride;verb;;;
saluer;to greet;verb;;;
sauvegarder;to save a computer file;verb;;;
sauver;to save;verb;;;
supporter;to tolerate, accept;verb;;;
supprimer;to cancel;verb;;;
téléphoner;to telephone;verb;;;
terminer;to finish;verb;;;
travailler;to work;verb;;;
traverser;to cross;verb;;;
trouver;to find;verb;;;
voler;to fly, steal;verb;;;
aménager;to develop;verb;;;
arranger;to arrange;verb;;;
changer;to change;verb;;;
corriger;to correct;verb;;;
décourager;to discourage;verb;;;
déménager;to move;verb;;;
déranger;to disturb;verb;;;
diriger;to direct;verb;;;
encourager;to encourage;verb;;;
engager;to engage;verb;;;
loger;to accomodate;verb;;;
manger;to eat;verb;;;
nager;to swim;verb;;;
partager;to share;verb;;;
plonger;to dive;verb;;;
ranger;to store;verb;;;
rédiger;to write;verb;;;
télécharger;to download;verb;;;
voyager;to travel;verb;;;
annoncer;to announce;verb;;;
avancer;to move forward, advance;verb;;;
commencer;to begin;verb;;;
divorcer;to divorce;verb;;;
